,FM6,FM14,FM44,FM55,FM62,FM63,FM65,FM72,FM73,FM106,FM130,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM506,FM589,FM594,FM608,FM610,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724
Anaeroglobus geminatus,0.00738,0.01526,0,0.00144,0,0.05631,0,0,0.02123,0,0,0,0,0.00071,0.00223,0,0,0.00913,0,0,0,0.00367,0,0,0,0.1629,0,0,0,0,0.18088,0,0,0,0,0,0.03593,0,0.03087,0
Atopobium parvulum,3.38761,2.25522,0,0.02955,0.3251,0.27486,0.01135,0,0.03643,0.20504,0.00316,1.23283,0.4205,0.00967,5.51426,0.02429,0.06102,0.36792,0.55013,0,0.00049,0.10883,0.09724,0.07325,0.13174,0.83732,0.11861,0.05885,0,0.00302,0.56609,0.01937,0.43911,0.01893,0,0.02678,2.21239,0.00249,0.07124,0
Atopobium rimae,0.0042,0.03535,0,0.00964,0,0.11277,0.01186,0,0.03213,0.09079,0,0.34305,0,0,0.01975,0,0.01856,0.00451,0,0,0,0.00344,0,0,0,0.02901,0.01909,0,0,0,0,0,0,0,0,0,0.00252,0,0,0
Bacteroidetes bacterium oral taxon 272,0.00071,0,0.00448,0,0,0,0,0,0,0,0,0,0,0,0,0.02796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes oral taxon 274,0.04348,0.01232,0.01482,0.01743,0.08858,0.28686,0.0516,1.1598,0.03447,0.02363,0,0,0,0.06755,0.00246,0.05683,0.18567,0.05348,0.01004,0.03264,0.01737,0.01007,0.08804,0,0,0.04232,0.07851,0,0.01781,0.00584,0.00921,0.2318,0,0.09286,0,0.00408,0.01815,0.04232,0.05462,0.01341
Bulleidia extructa,0,0,0.00416,0,0,0,0,0,0.00433,0.02895,0,0,0,0,0,0,0.00292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089,0,0,0,0,0,0,0,0,0
Burkholderia unclassified,0,0,0,0,0,0,0,0,0.02619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10951,0,0,0,0,0,0,0,0,0,0,0
Campylobacter concisus,0.26798,0.16099,0.07577,0.20095,0.03188,0.04987,0.02792,0.02387,0.02947,0.09691,0.11986,1.90509,0.38323,0,0.6093,0.01895,0.32346,0.22454,0.88808,0.06243,0.06313,0.06119,0.60107,0.96767,1.08863,0.82354,0.0425,0,0.18113,0.02425,0.36208,0.23196,0.64016,1.13036,0.04412,0.12229,2.08795,0.27525,0.39239,0.08119
Campylobacter gracilis,0,0,0,0,0.06829,0.09083,0,0,0.00106,0.03374,0,0,0.01445,0,0,0.03136,0.03074,0.97947,0,0,0.00945,0.00213,0,0,0,0.00435,0,0,0.01252,0.02116,0,0,0,0,0,0,0.01755,0,0.0248,0
Campylobacter rectus,0,0,0.00875,0.02477,0,0,0.01443,0.06584,0.09597,0.14505,0,0,0.0466,0,0.09638,0,0.04418,0.16947,0.00989,0,0,0.01152,0,0,0,0.03953,0,0,0,0.01418,0,0.01531,0.01143,0.0462,0,0.07204,0.004,0.30155,0,0.06264
Campylobacter showae,0.00739,0.26335,0.08404,0.20599,0.11432,0.12974,2.93487,0.29922,0.31195,0.30925,0.08072,0.00598,0.10216,0.1643,0.25409,0,0.06127,1.28802,0.61634,0.91946,0.44183,2.94497,4.70671,0.00333,0.12625,0.15405,0.30923,0.01399,0.42381,0.35058,0.1021,1.3019,0.02607,3.91961,0.0561,0.63689,0.02444,0.17699,0,0.20228
candidate division TM7 single cell isolate TM7b,0.0362,0.08297,0,0.0204,0,0.04113,0.01392,0,0.016,0.27136,0.04563,0.99721,0,0,0.31527,0,0.07608,0.18744,0.02415,0,0,0.00284,0.01371,0.02717,0.02012,0.06037,0,0.01728,0,0.0231,0,0,0.02913,0.01846,0,0.02995,0.01772,0.02137,0.30746,0.01825
candidate division TM7 single cell isolate TM7c,0.01897,0.03799,0.00039,0.02394,0,0.04161,0.00908,0,0.04506,0.36107,0.03122,1.11291,0,0.01367,0.14082,0,0.13008,0.1693,0.04876,0,0,0.00784,0,0,0,0.04234,0,0,0,0.03568,0,0,0,0.01246,0,0.01027,0.01016,0,0.18591,0
Candidatus Prevotella conceptionensis,0,0.01505,0.00136,0.00348,0,0.03726,0.07785,0,0.01179,0,0,0,0.02505,0.03096,0.00916,0.00717,0,0.33971,0,0,0,0.05341,0,0,0,0.06741,0.04062,0,0.27157,0.06998,0,0.12307,0,0.02104,0,0.01703,0.06923,0,0.23224,0
