,FM6,FM14,FM44,FM55,FM62,FM63,FM65,FM72,FM73,FM106,FM130,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM506,FM589,FM594,FM608,FM610,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724
Kingella oralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09115,0,0,0,0,0,0,0,0,0,0
Kingella unclassified,0,0.00363,0,0.00805,0,0,0,0.27941,0,0.32519,0,0,0,0,0,0,0,0.0909,0,0,0,0.00772,0,0,0.09663,0,0,0.05212,0.19238,0.13582,0.06194,0,0,0.01357,0,0.11237,0,0.10669,0,0.00598
Lachnoanaerobaculum saburreum,0.00476,0.00393,0,0,0,0.10928,0,0,0,0,0,0,0.03743,0,0,0,0,0.03501,0.01964,0,0,0,0,0,0.00664,0.02678,0.00495,0,0.07533,0.0166,0,0,0,0,0,0.00109,0.05157,0,0.0509,0
Lachnospiraceae bacterium ICM7,0.03575,0.03274,0.20381,0.06203,0,0.06161,0.1877,0.01665,0.06,0.11359,0,0,0,0.08546,0.04522,0.04699,0.00311,0.39077,0.07015,0,0.00253,0.03912,0.17069,0.07678,0.20428,0.06162,0.42534,0,0.09566,0.00067,0.1229,0.08766,0,0.0553,0.0256,0.24589,0.00081,0,0.07664,0.02711
Lachnospiraceae bacterium oral taxon 082,0.03211,0.1662,0,0,0,0.03095,0,0,0.00546,0,0,0,0.1603,0,0.11525,0,0.0156,0.01807,0.04211,0,0,0.00192,0.04609,0.02484,0.13406,0.10179,0.04854,0,0,0,0.01325,0,0.00494,0,0,0.036,0.0706,0,0.07842,0
Lachnospiraceae oral taxon 107,0,0.00042,0,0,0.2193,0.02216,0.01368,0,0.00528,0.02553,0,0,0,0,0,0,0,0.02554,0.04493,0,0,0.00043,0,0,0,0,0.00676,0,0,0.09537,0,0,0,0,0,0,0,0,0,0
Lactobacillus salivarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,0,0,0
Lactococcus garvieae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
Lautropia mirabilis,0.1001,0.06096,1.18884,0.01018,0.5949,4.10052,0.05951,1.05953,0.63229,0.75857,2.15006,0,0.2562,0.00256,1.30145,10.41118,0.2577,3.43654,5.04193,0.28699,0,0.16595,0.15087,0.63617,1.36544,0.16237,0.18314,1.35298,0.31521,4.38006,0,0.05751,0,3.09617,2.17828,0.23095,0.91779,5.09122,0.07159,3.21861
Leptotrichia buccalis,0.00875,0.01427,0,0.00161,0,0.28022,0.01121,0,0.0542,0,0.12579,0,0,0.05394,0.05192,0,0,0.06282,0.02546,0,0,0.01353,0,0,0.00956,0.00801,0.02069,0.04306,0,0.22487,0,0,0,0.00883,0,0.02156,0.02136,0,0.33127,0.10693
Leptotrichia hofstadii,0,0.00025,0,0,0,0.06176,0,0,0.00312,0,0,0,0,0.01538,0.01898,0,0,0.09685,0.07008,0,0,0,0,0,0,0,0,0,0,0.15116,0,0,0,0,0,0.01035,0.00163,0,0.12542,0
Leptotrichia shahii,0.0824,0.05306,0,0,0,0.03105,0,0,0,0,0.06054,0.0262,0,0.00419,0.11833,0,0,0.10199,0.07471,0,0,0.00507,0.0046,0,0.04393,0.02874,0,0,0,0.01434,0,0,0,0,0,0.01687,0.14458,0.01444,0.23263,0
Leptotrichia sp oral taxon 215,0,0,0,0,0,1.11402,0,0,0,0,0,0,0,0.67977,0,0,0,2.02408,0,0,0,0,0,0,0,0,1.04709,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotrichia unclassified,0.16766,0.14275,0,0.01607,0.42687,0,0.04592,0,0.10738,0.10373,0.10114,0.49674,0.04177,0,0.27841,0.0158,0.12574,0,0.65899,0.13784,0.39924,0.0455,0.15957,0.25173,0.22969,0.28003,0,0.56036,0.33765,1.07721,0.10828,0.15901,0.26994,0.09914,0.01848,0.12581,0.24302,0.23683,1.32226,0.48633
Leptotrichia wadei,0.38272,0.28671,0,0.00256,0,0.26262,0.00242,0,0.00154,0,0.6408,0.67013,0,0.02451,0.63981,0,0.0554,0.68002,0.82831,0,0,0.02515,0.11853,0.20685,0.49181,0.32803,0.02423,0.00683,0,0.02128,0.05021,0.02365,0.18121,0.04216,0,0.22639,0.68235,0.28848,1.82293,0.07758
Megasphaera micronuciformis,5.69414,5.86042,0,0.05153,0.69637,0.52989,0,0,0,0,0.20319,10.02241,2.57209,0.06584,7.24802,0,0,0.49924,1.44957,0,0,0.58635,1.55718,5.0968,1.87266,5.25037,1.33519,0.3258,0.00487,0,6.10906,0,0.952,0,0,0,9.14734,0.07216,0.12003,0
Megasphaera unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1222,0,0
Meiothermus silvanus,0,0,0,0,0,0.00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsuokella unclassified,0,0.0029,0,0.00297,0,0,0,0,0,0,0.09485,0.20664,0,0,0.01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01909,0,0.03189,0
Moraxella catarrhalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03735,0,0,0,0,0,0,0,0,0,0,0.10939,0,0
Mycoplasma orale,0,0,0,0.0007,0,0.00534,0.04161,0,0,0.15282,0,0,0,0.01717,0,0,0,0.05901,0.01868,0,0,0.00105,0,0.0616,0,0.00732,0,0,0,0,0,0,0,0.10245,0,0.01334,0,0,0,0.05915
Mycoplasma pneumoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria bacilliformis,0,0,0,0,0,0.15418,0,0,0,0.12635,0,0,0.09881,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0,0,0,0,0,0,0.00317,0,0,0.01464,0,0,0
Neisseria cinerea,0,0,0,0,0,0,0,0,0,0.21353,0,0,0,0,0,0,0,0,0,0,0,0,0.02133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria elongata,0,0.0158,0.02551,0.01099,0.1892,0.89881,0.22218,0,1.46797,1.60687,0.19988,0,0,0.24541,0.30707,0.09726,0.18063,0.19958,0.3521,0.05899,0,0.97256,0.02388,0.04856,0.02547,0.14816,0.44939,0,0.17308,0.91627,0.03724,1.06025,0.29591,0.55766,2.6252,0.274,0.0512,0,0.01183,0.02044
Neisseria flavescens,3.03855,2.00389,43.69965,19.33782,1.23305,2.85722,16.04861,17.46825,25.96247,10.60043,3.6802,0.21372,1.57673,0.41041,0.58421,18.94766,4.02785,4.75027,5.48063,2.10977,16.47957,32.11747,3.13048,4.6434,16.56643,5.33894,7.95872,0.37373,14.47246,2.15243,0.9411,21.31001,13.5457,39.57573,53.36849,23.96954,0.71995,0.32947,4.4083,4.01081
Neisseria gonorrhoeae,0,0,0,0.00364,0,0.00779,0.00993,0,0.04166,0.02295,0,0,0,0,0,0.00843,0,0,0,0,0,0.06795,0.02713,0,0,0,0,0,0,0,0,0,0,0,0.1222,0.00712,0,0.76337,0,0
Neisseria lactamica,0,0.01242,0.01467,0.00296,0,0,0,0.02698,0.10606,0.01203,0,0,0,0,0,0,0,0,0,0,0,0.00506,0.00749,0,0,0.01092,0,0,0,0,0,0.00438,0,0.05095,0,0.00795,0,1.29301,0,0.04851
Neisseria macacae,0.01234,0.07045,0.04087,0.00421,0.03677,2.82326,0.01165,0.04373,1.50421,0.14991,0.04127,0,0.08714,0,0.00782,0.3262,0.13372,0.03555,0.05042,0.53101,0,0.03947,0.03575,0.09757,0.0859,0.01167,0.02283,0.15184,0.19753,1.16493,0,0.34539,0.04551,0.09402,0.77394,0.09548,0.09008,0.14391,0.04819,0.03346
Neisseria meningitidis,0.01768,0.0026,0.01698,0.00896,0,0,0.0355,0.11803,0.01029,0.0889,0,0.03136,0,0.01256,0.00211,0.08507,0.18095,0.00866,0,0.03574,0,0.02173,0.06819,0.13827,0.01108,0.01246,0.02707,0.48528,0.03458,0.00697,0.08124,0.09632,0.04901,0.02242,0.02574,0,0.00815,2.38335,0.00952,0
Neisseria polysaccharea,0,0,0,0,0,0,0,0,0.01802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40822,0,0
Neisseria sicca,0.01282,0.03088,0.46555,0.03981,0.32618,5.8127,0.63718,0.23828,8.17191,1.55526,0.76601,0,0.87447,0.10516,0.35202,1.2565,0.1636,0.41112,0.20759,1.53532,0,1.7396,0.08297,0.18995,0.29642,1.90002,2.2727,0.5993,1.7447,1.36182,0.02915,2.08637,2.06214,0.22909,2.09787,0.62513,0.12937,4.00189,0.04197,2.09688
Neisseria sp oral taxon 014,0,0,0,0,0,6.24952,0,0,0,0,0,0,0,0,0,0,0,0,2.18354,0,0,0.32966,0,0,0,0,0,0,0,10.19288,0,0,0,0,0,0,0,0,0,0
Neisseria subflava,1.42341,0.13847,1.97939,2.60971,0.0954,0.1654,0.03833,0.02513,0.66224,0.12837,0.4656,0,0.12888,0,0.09098,0.88878,0.11611,0.07096,0.2153,0.06446,0.00138,0.60956,0.4811,0.21532,1.31471,0.20301,0.10304,0.12884,0.15276,0.00161,0.05977,0.45964,0.50175,4.54457,0.1676,0.43135,0.00621,0.09409,0.07884,0.09003
Neisseria unclassified,2.37765,2.78282,2.78472,10.34459,6.60865,8.44274,20.63834,12.4441,19.69327,12.5991,21.01668,0.77968,13.6147,0.58755,1.54139,22.26189,7.63326,17.27784,7.58759,11.08408,0,1.59184,18.66549,6.98118,9.5466,4.63991,17.33535,4.14247,4.7577,0,0.7742,10.37236,3.37884,0,0,7.11417,3.80034,18.25001,7.20032,18.08702
Oribacterium sinus,0.16646,0.04531,0.01277,0.18331,0,0.59754,0.02626,0.00252,0.01643,0.14066,0,0.18833,0.1317,0.19049,0.18173,0.60618,0.23064,0.8674,0.07334,0,0.02299,0.03611,0.18618,0.09239,0.08778,0.13559,0.23491,0.01159,0.16502,0.00245,0.56531,0,0.09736,0.11691,0,0.02182,0.32387,0.03919,0.75753,0.00242
Oribacterium sp ACB1,0,0.46486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium sp ACB8,0.12205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium sp oral taxon 078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20413,0,0,0,0,0,0,0,0,0.00573,0,0,0,0,0,0,0,0,0,0,0,0,0
Parvimonas micra,0,0,0,0.01883,0,0,0,0.594,0.01732,0,0,0,0,0,0,0,0.03082,0,0,0.00269,0,0.00042,0,0,0,0.03096,0.00488,0,0,0,0.05447,0.05765,0,0.00286,0,0,0.00455,0,0,0
Parvimonas unclassified,0.00041,0.00873,0,0.09402,0,0.08077,0.01473,0,0.11187,0,0.00207,0,0,0.05859,0,0.0274,0.28135,0.00542,0.00637,0.08738,0.09871,0.02917,0,0.00733,0,0.07065,0.09789,0.19174,0.09313,0.00953,0.16803,0.12794,0,0.01446,0.00905,0.0656,0.00736,0,0,0.10421
Peptostreptococcus stomatis,0.00722,0.00717,0.01296,0.02773,0,0.03874,0.0143,0,0.03835,0.41442,0,0,0,0.0098,0.03056,0.01261,0.04831,0.01974,0,0,0,0.03416,0,0.03308,0,0.05018,0.02728,0.18767,0.01723,0,0.08061,0.05544,0,0.00284,0,0.03903,0.00826,0,0,0.01131
Peptostreptococcus unclassified,0.01979,0.0294,0.07843,0.04171,0.06544,0.01528,0.0528,0,0.00017,0.23017,0,0,0,0.01681,0,0.01426,0.0068,0.01893,0,0,0.00904,0.05858,0.01764,0.1246,0.01624,0.01779,0.03194,0,0.06236,0,0.01132,0.01796,0,0.01845,0.00666,0.07817,0.03096,0,0.02316,0
Porphyromonas catoniae,0,0.02379,0,0.002,1.40956,5.23778,0.00111,0,0.00359,0.0925,0,0,0,0.00881,0,0,0,0,0,0,1.55821,0.00087,0,0,0,0,0.02237,0,0.26326,0.21128,0,0,0,0,0.01197,0.00591,0,0,0,0
Porphyromonas endodontalis,0,0.00296,0.55183,0.41473,0,0.05595,1.02239,4.31482,0.67484,0.99118,0.79809,0,0,0.20322,0.48172,1.22624,4.42123,0.06769,0.12075,0.43746,0.04075,0.76649,0.13302,0.06176,0.03787,1.67108,0.81519,5.71314,0.01084,0.02546,1.13252,0.46744,0.2599,0.60695,0.03657,1.68583,0.09884,0.0175,0,0.43329
Porphyromonas gingivalis,0,0,0,0.30354,0,0.00619,0,0,0.78157,0.70085,0.29736,2.0803,0.03442,0.26089,0.74527,0.35775,0,1.44326,0,0.53005,0,0,0,0,0.13965,0.96701,0,0.47982,0,0.1572,0.38571,0,0.74905,0.75688,0,0.58165,0.33743,0.66376,0,1.80445
Porphyromonas sp oral taxon 278,0,0,0,0,0,2.13864,0,0,0.37886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas sp oral taxon 279,0.18029,1.54668,3.08677,8.74643,1.45141,4.27576,7.1766,8.23574,10.03857,0,0,0,0,29.80422,0,5.22385,3.79182,0.88152,2.12891,4.22811,6.34853,2.46913,1.67876,5.38849,1.76478,3.16679,4.95676,0,2.29422,0.22181,0.60114,7.8198,0,5.23386,2.9862,9.71402,0,0,3.12088,3.84125
Prevotella amnii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054,0,0,0,0,0
Prevotella baroniae,0,0,0.07307,0.02394,0.00306,0,0.00882,0,0.05163,1.44699,0.18208,0,0.13885,0.01546,0.02597,0.12043,0.21571,0,0.0191,0,0,0.00818,0,0,0,0.22015,0.03817,1.03169,0,0,0,0.00793,0,0,0,0,0.06144,0,0,0.09519
Prevotella buccae,0,0,0,0.00034,0,0,0,0,0.0005,0,0,1.34825,0,0,0,0,0,0,0,0,0,0.00033,0,0,0,0.19406,0,0,0,0,0,0,0,0.00845,0,0.08272,0,0,0,0
Prevotella dentalis,0,0,0,0.00134,0,0,0,0,0.02464,0,0.01139,0,0.08571,0,0.01255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01461,0,0,0,0,0,0.03778
Prevotella denticola,0,0.06044,0,0.0248,0,0,0.00822,0,0,0.01593,0.1001,0.57789,0.11219,0.01432,0.16036,0.1224,0,0.08684,0.05368,0,0,0.00157,0,0,0.01669,0.04773,0.22752,0,0,0.03657,0,0.11182,0,0.01838,0,0.21738,0.34218,0,0.04256,0.09425
Prevotella histicola,9.00907,7.52711,0,0,1.44336,0,0,0,0,0,0.88842,0.23212,16.33089,0,4.61009,0,0.00174,0.83251,1.4135,0,0,0.15846,2.13874,0,6.36893,5.27335,0.24731,1.42879,0.53268,0,0,0,0.1725,0,0,0,1.30118,1.09628,0.82333,0
Prevotella intermedia,0,0,0.64782,0.03642,0.0929,0.01266,0.23162,0,0.16809,1.2321,0,0,0.05618,0.04091,0.14007,0,0,0.14343,0,0.33071,0,0.07549,0.02335,0.08888,0.08064,0.7604,0.31014,0,0.12041,0.00117,0.39679,0.77199,0.02206,0.10282,0.02701,0.26916,0.24533,0.53657,0,0.62653
Prevotella loescheii,0,0.00937,0,0.01025,0,0.03631,0.04804,0,0.01005,0.02906,0,0,0,0.05015,0,0,0,0.01202,0,0,0,0.04238,0.02792,0,0,0.01916,0.01043,0,0.02298,0.04682,0,0.00763,0,0.02684,0.02818,0,0,0,0,0
Prevotella maculosa,0,0.00762,0,0,0,0.0199,0.00053,0,0,0.05808,0,0,0.01732,0,0,0.00443,0,0.09299,0,0,0,0.00132,0,0,0,0.00235,0,0.01895,0.08526,0,0,0,0,0,0,0.00332,0.02533,0,0.07603,0
Prevotella marshii,0,0,0,0,0,0,0,0,0.00509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella melaninogenica,10.33166,8.80287,3.77931,7.12448,11.35853,10.57814,6.85126,2.06197,2.05012,5.78471,1.72605,7.22796,1.75892,2.11285,5.05966,0.34324,3.76918,8.68312,1.5542,0.60441,0.22859,11.62477,7.66716,13.32644,7.60346,14.25768,13.39626,2.64548,4.48722,0.18225,19.33262,10.04753,3.61545,5.11111,0.47277,6.51717,4.09879,2.06963,2.453,0.60701
Prevotella micans,0,0,0,0,0,0,0.00268,0.06357,0.00304,0,0,0,0,0.01112,0,0,0,0,0,0,0,0.00044,0,0,0,0,0.01802,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella multiformis,0,0,0,0.01131,0,0.25585,0,0,0.10786,0,0.02113,0,0,0,0,0.00264,0,0,0,0.12017,0,0.01044,0,0,0,0.19232,0.01314,0,0,0,0,0,0.93191,0,0,0,0.25034,0,0,0.27902
Prevotella multisaccharivorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05716,0,0,0
Prevotella nanceiensis,0.00036,0.79019,0.61365,5.25494,0.26476,1.10404,1.05107,0.45034,1.69774,3.00531,0,0,0.47863,14.39063,0.12341,0,1.44106,0.3126,1.2209,0.58257,1.57572,3.59789,0.78718,0.63787,0.68363,1.66069,3.78878,0.28467,0.32852,0.03703,0.2259,0.48553,0.41377,0.94221,0.27393,6.77124,0.01267,0.11522,0.81804,0.54086
Prevotella nigrescens,0.00224,0.14835,0.17168,0.02306,0.07611,0.00441,0.08128,0.79256,0.02318,0.2766,0,2.55803,0,0,0.11639,0.0123,0.20803,0.08726,0,0,0,0.0586,0.02875,0,0.01773,0.11442,0.4172,0,0.0672,0.00047,0,0.01075,0.05693,0.02883,0.05008,0.28699,0.07584,0,0.10805,0.05124
Prevotella oris,0.02416,0.07934,0,0.10178,0.21828,0.12492,0.01199,0.12369,0.02155,0.29045,0.03209,1.33456,0.44406,0.03123,0.14697,0.09303,1.43615,0.05233,0.0816,0.21848,0,0.02768,0.19457,0.05341,0,0.24665,0.11169,0,0.04431,0.00935,0,0.01922,0,0.00842,0,0.04647,0.04258,0.1628,0.07273,0.10124
Prevotella oulorum,0.0617,0.45311,0,0.00335,0.00315,0.83154,0.00063,0,0.00968,0.00303,0.05431,0.0497,0.25214,0.00454,0.72106,0.15326,0.12021,0.40038,0.52827,0,0,0.07197,0.4384,0.13864,0.81369,0.79828,0.09203,0,0.11537,0.0131,0.12115,0,0.15621,0,0,0.10767,0.92461,0,0.07477,0
Prevotella pallens,1.5328,4.30536,0.35844,0.32254,1.48832,0.72078,0.05887,0,0.00672,0,0.19701,7.09536,3.42932,0.01848,5.08124,0.75235,0.83415,1.71253,0.71513,0,0.04266,0.30675,2.93873,3.22392,2.73563,3.75043,0.85239,0.38605,0.16605,0.00098,1.43827,0.03851,0.38133,0.43793,0,0.07189,2.35998,0.25651,0.4175,0
Prevotella pleuritidis,0,0.00693,0.00505,0.0216,0,0,0.14402,1.4004,0.1452,0,0.01975,0,0,0.01362,0,0,0.15049,0.03484,0,0,0,0.04253,0.02761,0,0,0.01305,0,0,0,0,0.05065,0.94826,0,0.09789,0.01086,0.0272,0.03442,0,0,0
Prevotella saccharolytica,0,0,0,0,0,0.00116,0.00506,0,0,0.01342,0,0,0,0,0,0,0,0.00557,0,0,0,0.00514,0,0,0,0,0,0,0.09149,0.012,0,0,0,0,0,0,0,0,0.02772,0
Prevotella salivae,3.63144,2.47883,0.11218,0.05243,0.75867,0.16894,0.02332,0,0.02451,3.46277,0.12531,5.53008,2.16739,0.23158,5.85974,0.78593,0.57257,0.41637,0.90391,0,0.00895,0.21162,0.74071,0.36379,1.63288,1.87704,0.41023,0.41704,0,0.00198,2.37722,0.18675,1.0518,0.29923,0,0.6173,3.01073,0.17218,0.16835,0
Prevotella sp C561,0,2.95286,0,0,0,2.19388,0,0,0,0,0,0,8.79049,0,0,0,0,3.02419,0,0,0,0,0,4.83815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella sp oral taxon 306,5.61547,5.4371,0,0,0,0,0,0,0,0,0,0,0,0,7.7674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella sp oral taxon 473,0,0,0.53372,0,0,0.81191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95946,0,0,0,0,0,0,0,0
Prevotella veroralis,0.09609,0.06096,0.00466,0.0191,0.11635,0.01111,0.03153,0,0.03877,0.27943,0.02314,0,0.02213,0.00628,0.1205,0,0.22434,0.09779,0.05797,0,0.00533,0.01102,0.00556,0.03395,0.03469,0.47116,0.23781,0.16402,1.2913,0.0097,0.11052,0.04299,0.03056,0.01858,0,0.06045,0.26979,0.25815,0,0.05139
Propionibacterium acnes,0,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715,0
Propionibacterium propionicum,0,0.04165,0,0.00343,2.52521,0.60053,0.03156,0,0.01247,0.03241,0,0,0,0.03495,0,0,0,0,0.03072,0,0.40584,0.02292,0,0.02732,0.02754,0,0.03141,0,0.0994,3.61729,0,0.06822,0,0.01135,0.09148,0.03199,0,0.05107,0.07397,0.12633
Pseudomonas putida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0,0,0,0
Pseudomonas unclassified,0,0.01339,0.01774,0,0,0.06199,0.03267,0,0,0,0,0,0,0,0,0,0,0,0.04965,0,0.03399,0,0,0,0,0,0.05956,0,0.24808,0,0,0,0.2384,0,0.16799,0,0,0,0.81026,0
Ralstonia unclassified,0.02093,0.00409,0,0.00872,0,0.01397,0.01513,0.13319,0.02561,0,0,0.35353,0,0,0.00807,0,0,0.01378,0.09236,0.04631,0.03576,0,0,0,0,0,0,0.16538,0.04412,0.02237,0,0,0,0,0.00798,0,0,0,0.44168,0.01421
Riemerella unclassified,0,0,0,0,0,0,0.00801,0,0,0,0.04418,0,0,0,0,0,0,0,0,0,0.04568,0,0.01754,0,0,0,0,0,0,0.01446,0,0,0,0.01318,0,0,0,0,0,0
Rothia aeria,0.07417,0.0401,0.19386,0.01776,2.78533,1.37104,0.0295,0.22513,0.03367,0.16905,0.08807,0,0.00332,0.12252,0.35603,4.96576,0.06323,0.11796,0.68714,0.11418,16.01369,0.05326,0.19313,0.22009,0.63816,0.03927,0.0804,2.95688,0.28842,16.63339,1.15282,0.25819,0.08235,0.71304,1.07651,0.11407,0.43608,0.14684,0.08916,0.25599
Rothia dentocariosa,0.00174,0.09937,0.01871,0.24871,1.86744,0.44679,0.02924,0,0.0081,0.09843,0.00327,1.11445,0.20376,0.02933,0.23782,0.38953,2.58971,0.01979,0,0,0.00887,0.0995,0.39517,0.09682,0.33622,0.04702,0.59089,26.93664,0.19165,6.12744,0.37523,0.09925,0.97616,0.02839,0,0,0.19801,0.36532,0.70576,0.02208
Rothia mucilaginosa,0.75362,0.37616,1.65901,0.7779,0.14867,0.38067,0.59887,0.87438,0.79624,6.23087,0.3715,2.1484,0,0.07769,0.26657,4.21623,21.59239,1.9765,4.46382,0.56913,1.90344,0.77764,0.64484,1.75042,1.49848,1.01853,3.17742,1.9831,0.21384,0.09001,1.68182,2.43366,9.76198,1.99734,6.29606,3.45116,1.31787,4.23336,15.13005,9.19022
Scardovia wiggsiae,0,0.02112,0,0.00608,0,0,0,0,0,0,0,0,0.19402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,0,0,0,0,0,0,0,0,0,0
Selenomonas flueggei,0.02407,0.04365,0,0.00032,0,0.15323,0,0,0,0,0,0,0,0,0.04558,0,0,0.02427,0.06248,0,0,0.00681,0,0,0.0203,0.05062,0,0,0,0,0,0,0,0.00181,0,0,0.0992,0,0,0
Selenomonas infelix,0,0,0,0,0,0.02441,0.00427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenomonas noxia,0,0.01219,0,0.00146,0,0.60891,0.01464,0,0,0.00635,0,0.42097,0,0.01877,0.00591,0,0.00825,0.10806,0.23298,0,0,0,0,0,0,0,0,0,0,0.01312,0,0,0,0,0,0,0.07416,0,0.02171,0
Selenomonas sputigena,0,0.00987,0,0,0,0.05671,0,0,0,0,0,0,0,0,0.01822,0,0,0,0,0,0,0.00281,0,0,0,0.01571,0,0,0,0,0,0,0,0,0,0,0.06047,0,0,0
Shuttleworthia satelles,0.26015,0.00453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simonsiella muelleri,0,0.00159,0,0,0,0,0.14411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01417,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0
Slackia unclassified,0.00347,0.00158,0,0,0,0,0,0,0,0,0,0.03981,0,0,0.00078,0,0.00526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403,0,0,0,0,0,0,0,0,0
Solobacterium moorei,0.79014,0.5525,0.36815,0.44093,0.0057,0.05339,0.11904,0.03483,0.1275,0.11755,0.03323,0.40386,0.09803,0.16512,0.32031,0.01857,0.08939,0.33516,0.07925,0,0.00244,0.35583,0.10328,0.23571,0.30602,0.38456,0.29442,0,0,0,0.7308,0.2904,0.28487,0.0771,0.01083,0.21031,0.87987,0,0.20044,0.00216
Sphingomonas melonis,0,0,0,0,0,0,0,0.29849,0,0,0,0,0,0,0,0,0,0,4.34621,0,0,0,0.04398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus aureus,0,0,0,0,0,0,0,0,0.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomatobaculum longum,3.25703,2.20833,0,0.15993,0,0.06188,0.21352,0.00212,0.05729,0.00932,0.03128,0.1759,0.04441,0.00242,1.2863,0,0.01896,0.16755,0.31592,0,0.02414,0.01804,0.13722,0.45185,0.46385,0.55693,0.30709,0,0.29307,0,0,0.06889,0.06119,0.03385,0,0.03021,0.81146,0,0.47531,0
Streptococcus anginosus,0.02343,0.02832,0,0,0,0.08796,0.00038,0,0.0004,0.19142,0,0.42024,0.07896,0,0,0,0.11698,0.01543,0,0.03324,0,0,0,0,0,0,0,0.01925,0,0.02919,0,0,0,0,0,0,0.06565,0,0,0
Streptococcus australis,0.03738,0.02488,0.09786,0.04133,0,0.43263,0.06357,0.13849,0.00737,0.51885,0.03737,0,0,0.03431,0.02372,0.13169,0,0.12099,0.14438,0.06155,0.16737,0.02023,0.1363,0.19666,0.37034,0.03894,0.07134,0,0.58372,0.06302,0.11045,0.23786,0.02167,0.12058,0.09528,0.05824,0,0,0.4169,0.36473
