out_id,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,Run,Group_type
3714db21d59bf50cff3ddd13ce2ebd2c,1.820808737,0.01980198,1,A
b022b5312f30be684bdd2cc66030dea5,1.819279846,0.04950495,1,A
134bcf72f243a6b77d97673e75b1564f,1.741691301,0.02970297,1,A
1a069ea36017c7efc95d851374fa7382,1.620253803,0.00990099,1,A
7ea4e733ba73f27487dbf83bf34246e3,1.414860004,0.00990099,1,A
e3f6085120269cc587278b4f3486c200,4.753668249,0.00990099,2,A
300568e1ddcb6356519af1a75ab2df4b,4.250331728,0.00990099,2,A
814d36cce47414becceb7665900831e6,4.150985848,0.02970297,2,A
cbef40f459197faa8de7bba6a4764a34,4.14328559,0.01980198,2,A
f9612c98d79c37a803a973724113cef6,3.839915405,0.00990099,2,A
ddfd49f939f92958b1ec816741055348,3.598793903,0.00990099,2,A
98bcf713cdab713b589f72f2ebcef570,2.788397632,0.01980198,2,A
2f3da68606254b35e1d68615524c6815,2.654578772,0.04950495,2,A
101951aabf4e77306397fe2aef3a7e88,2.530969765,0.00990099,2,A
a0592d488c7b9be5780b62531b0eaa5a,2.396150661,0.02970297,2,A
a1b31da3a50890aadc04fca003e3e007,2.272135745,0.03960396,2,A
a9fdd07326c4aa9136066a81e0dccefc,2.001601939,0.01980198,2,A
c6d3727100d2f11b93aed61d77fdb738,1.928919711,0.04950495,2,A
70dbac76545ca7f0d29e40f47caf5706,1.926220921,0.01980198,2,A
f340cf3b808d93363d6d8d15432ba7b6,1.895467842,0.03960396,2,A
2763f182a58a05c8f222442db5eeda89,1.872510668,0.02970297,2,A
134bcf72f243a6b77d97673e75b1564f,1.73727046,0.03960396,2,A
4bc29222703188e33f91bbc7f5e197cf,1.662861697,0.02970297,2,A
1a069ea36017c7efc95d851374fa7382,1.660074451,0.00990099,2,A
6941eda7df776b8ff1deeb8824906b14,1.554951348,0.01980198,2,A
4ab6728d229767ccc5829b0a3b8f139f,1.416205397,0.03960396,2,A
637b9b3f4d1cbb1a10c07817619cdf69,1.398899306,0.01980198,2,A
a617e85de60698008cd089c1086c0415,1.001001503,0.04950495,2,A
b022b5312f30be684bdd2cc66030dea5,3.999844773,0.00990099,3,A
e606e6a9dbcbaefd0fe8f53571bbcab0,3.920164807,0.01980198,3,A
6941eda7df776b8ff1deeb8824906b14,3.567909581,0.00990099,3,A
ddfd49f939f92958b1ec816741055348,3.472718426,0.00990099,3,A
cd9401a6bce4a63af516d06d2a843f9d,3.378695936,0.02970297,3,A
e78ecb138a8bee2a728274b849db12c1,3.255225286,0.02970297,3,A
ca9c66d47347c03d0343d6fe03ed8636,3.24465092,0.01980198,3,A
101951aabf4e77306397fe2aef3a7e88,2.958979241,0.00990099,3,A
06f825b512d903b9230e1a55d87359ee,2.932397938,0.02970297,3,A
e3f6085120269cc587278b4f3486c200,2.328302224,0.03960396,3,A
fae6d0c5cd2a53341a4ec984541b1541,2.146501142,0.01980198,3,A
fd5005ac95e4d83b960a433c10d1f59a,1.660074451,0.00990099,3,A
82937d1e297184cd97c61679358f703b,1.417050503,0.03960396,3,A
4bc7a01c9f3ae55e58c6018c2b47c3d8,1.416310843,0.00990099,3,A
14cdbeb53b04b38471da15fcf8b01f92,1.416310843,0.03960396,3,A
7d530de69cd688f1b07c44c57a47f201,1.416310843,0.03960396,3,A
12695f12ae8b1210e9d3acf090b554e3,1.416205397,0.02970297,3,A
0c579d21280801f02a641e1608606927,1.001001503,0.00990099,3,A
f9612c98d79c37a803a973724113cef6,4.86883257,0.00990099,4,A
ddfd49f939f92958b1ec816741055348,3.763307919,0.00990099,4,A
e3f6085120269cc587278b4f3486c200,3.751269587,0.00990099,4,A
e606e6a9dbcbaefd0fe8f53571bbcab0,3.525792529,0.02970297,4,A
8f92285a09a85541ec6a6227f460846d,3.361615035,0.00990099,4,A
59f7d8a7f37d6eeec95eb556f33da267,3.313941371,0.03960396,4,A
76a2a89fb35336e7b117fc44ff915092,3.146442396,0.01980198,4,A
942ec60e75a4f9183b9b69cbf8960379,3.117741446,0.00990099,4,A
814d36cce47414becceb7665900831e6,2.971945334,0.02970297,4,A
b595f96f96fe7a346c01c042c2f6276d,2.955632068,0.01980198,4,A
0ed3a6836e138f14044f6950ad7280d2,2.697402967,0.04950495,4,A
02ed3db36ac309dbfe88cfe86ed18546,2.227169045,0.01980198,4,A
1063e92b4acc17f22a826d2c79da73b9,2.220608107,0.00990099,4,A
b022b5312f30be684bdd2cc66030dea5,2.201145542,0.02970297,4,A
14cdbeb53b04b38471da15fcf8b01f92,2.187644879,0.00990099,4,A
365bfd091ff876a2a7e7dd123604ed1b,2.097995112,0.03960396,4,A
d46e2205f0c6ecf67b51f83d111c509c,1.956073184,0.01980198,4,A
a13bf7c319da6c5c437261c2a4e3c6a1,1.955547392,0.04950495,4,A
e31678836ca29c0ebde1bd1003bcdca6,1.912858387,0.00990099,4,A
4ae08e8108145e4e1450621b9a990279,1.89117022,0.01980198,4,A
101951aabf4e77306397fe2aef3a7e88,1.882087449,0.03960396,4,A
4bc29222703188e33f91bbc7f5e197cf,1.660451739,0.02970297,4,A
5dcf0b75ca974467170dd7739ec289eb,1.580137926,0.03960396,4,A
e467be7d3b2d8208283d25a3e8e02916,1.416397722,0.00990099,4,A
29e780f4f114fafd1257a5ab196d01a0,1.001001503,0.02970297,4,A
5e262159bb77c7809e046104cc9207f8,1.001001503,0.04950495,4,A
58a9a501230a08491f94325868b26299,1.001001503,0.03960396,4,A
59f7d8a7f37d6eeec95eb556f33da267,6.228569841,0.00990099,5,A
e606e6a9dbcbaefd0fe8f53571bbcab0,5.304562663,0.00990099,5,A
ca9c66d47347c03d0343d6fe03ed8636,3.902725694,0.01980198,5,A
814d36cce47414becceb7665900831e6,2.896611703,0.02970297,5,A
f9612c98d79c37a803a973724113cef6,2.778228654,0.00990099,5,A
101951aabf4e77306397fe2aef3a7e88,2.367688811,0.01980198,5,A
56bde454092279f47b556883d5909620,2.230566744,0.03960396,5,A
a13bf7c319da6c5c437261c2a4e3c6a1,1.815602987,0.04950495,5,A
365bfd091ff876a2a7e7dd123604ed1b,1.641326397,0.03960396,5,A
377bf1b86dd15d576b1b9edd617843ce,1.585583357,0.04950495,5,A
fae6d0c5cd2a53341a4ec984541b1541,1.424592331,0.03960396,5,A
7c8a0f5817400d6be9988ee1c601257b,1.417050503,0.03960396,5,A
0df6c802966e8670279671824da4f10a,1.416205397,0.00990099,5,A
d0f1ceec84fedecab1d44ee96b790453,1.3845828,0.02970297,5,A
14cdbeb53b04b38471da15fcf8b01f92,1.149111758,0.04950495,5,A
8135beec331a8d558070c38b580e4b8e,1.001001503,0.02970297,5,A
dd7cc08d0ee3a3481d409879ca2f066b,4.071184103,0.00990099,6,A
e606e6a9dbcbaefd0fe8f53571bbcab0,4.023932174,0.01980198,6,A
942ec60e75a4f9183b9b69cbf8960379,3.984110842,0.00990099,6,A
59f7d8a7f37d6eeec95eb556f33da267,3.922245681,0.00990099,6,A
814d36cce47414becceb7665900831e6,3.563045799,0.01980198,6,A
f9612c98d79c37a803a973724113cef6,3.34712638,0.02970297,6,A
d8a05ea8aecfcf5910db345be88e712a,2.958721276,0.01980198,6,A
8e493df449e84acb4e24f5811ff3599b,2.781258631,0.03960396,6,A
e3f6085120269cc587278b4f3486c200,2.665377988,0.04950495,6,A
17ae20a577370dc92154c6b1f5b2a5aa,2.487323176,0.02970297,6,A
7554ab04641923e9511641bb3722769c,2.328219598,0.01980198,6,A
0ed3a6836e138f14044f6950ad7280d2,2.265464313,0.04950495,6,A
f992dfdf7e8ebde2cd041f7e4100beff,2.133947474,0.02970297,6,A
42e9464e281f53ba8a4f84d59d523431,1.874935927,0.02970297,6,A
f1015b637b9c4d72d9ad69a0e247b754,1.846210858,0.03960396,6,A
945184b6386c192c0066e0a98a154780,1.837412391,0.03960396,6,A
b595f96f96fe7a346c01c042c2f6276d,1.777080374,0.02970297,6,A
ca321922be56e7682cce9b8eeec198aa,1.702019794,0.01980198,6,A
4bc29222703188e33f91bbc7f5e197cf,1.692091043,0.03960396,6,A
3bae00d865b43e800a6f297f958ac2de,1.417050503,0.04950495,6,A
0f31a57c7a452ee03b5f5bf4a2d960cf,1.415084048,0.00990099,6,A
4bc7a01c9f3ae55e58c6018c2b47c3d8,1.001001503,0.04950495,6,A
4999816dd626f1b375f8092ac7f83531,1.001001503,0.04950495,6,A
e3f6085120269cc587278b4f3486c200,5.50069966,0.00990099,7,A
f9612c98d79c37a803a973724113cef6,4.840699359,0.01980198,7,A
e606e6a9dbcbaefd0fe8f53571bbcab0,4.124184849,0.00990099,7,A
59f7d8a7f37d6eeec95eb556f33da267,3.915500847,0.00990099,7,A
76a2a89fb35336e7b117fc44ff915092,3.838322752,0.01980198,7,A
98bcf713cdab713b589f72f2ebcef570,2.982049386,0.02970297,7,A
8e493df449e84acb4e24f5811ff3599b,2.874277622,0.02970297,7,A
814d36cce47414becceb7665900831e6,2.690607271,0.02970297,7,A
